experience_level,job_title,salary_in_usd,company_location,company_size
SE,AI Engineer,202730,US,M
SE,AI Engineer,92118,US,M
SE,Data Engineer,130500,US,M
SE,Data Engineer,96000,US,M
SE,Machine Learning Engineer,190000,US,M
SE,Machine Learning Engineer,160000,US,M
MI,ML Engineer,400000,US,M
MI,ML Engineer,65000,US,M
EN,Data Analyst,101520,US,M
EN,Data Analyst,45864,US,M
SE,Data Engineer,172469,US,M
SE,Data Engineer,114945,US,M
EX,NLP Engineer,200000,US,M
EX,NLP Engineer,150000,US,M
SE,Data Analyst,170000,US,M
SE,Data Analyst,130000,US,M
SE,Applied Scientist,222200,US,L
SE,Applied Scientist,136000,US,L
MI,Data Manager,128000,US,M
MI,Data Manager,81500,US,M
SE,Data Architect,93838,US,M
SE,Data Architect,69535,US,M
EN,Data Analyst,75000,US,M
EN,Data Analyst,65000,US,M
MI,Data Operations Manager,150000,US,M
MI,Data Operations Manager,125000,US,M
MI,Research Scientist,260570,US,M
MI,Research Scientist,167030,US,M
EN,Data Engineer,120000,US,M
EN,Data Engineer,100000,US,M
MI,Data Analyst,100000,US,M
MI,Data Analyst,80000,US,M
MI,Data Analyst,145000,US,M
MI,Data Analyst,95000,US,M
MI,Data Science Manager,240000,US,M
MI,Data Science Manager,180000,US,M
SE,Business Intelligence Engineer,202800,US,M
SE,Business Intelligence Engineer,115000,US,M
MI,Data Analyst,112300,US,M
MI,Data Analyst,75100,US,M
MI,Business Intelligence,178200,US,M
MI,Business Intelligence,87000,US,M
MI,ML Engineer,252000,US,M
MI,ML Engineer,168000,US,M
SE,Machine Learning Engineer,190000,US,M
SE,Machine Learning Engineer,100000,US,M
MI,Data Scientist,150650,US,M
MI,Data Scientist,106700,US,M
SE,Data Scientist,192300,US,M
SE,Data Scientist,107900,US,M
SE,Data Scientist,257600,US,M
SE,Data Scientist,146000,US,M
SE,Data Engineer,158200,US,M
SE,Data Engineer,74100,US,M
SE,Data Engineer,231400,US,M
SE,Data Engineer,170955,US,M
MI,Data Engineer,137000,US,M
MI,Data Engineer,60300,US,M
MI,Data Analyst,101098,US,M
MI,Data Analyst,59469,US,M
MI,Data Product Manager,166363,US,M
MI,Data Product Manager,103977,US,M
SE,Data Manager,166000,US,M
SE,Data Manager,104000,US,M
SE,Research Scientist,170400,US,M
SE,Research Scientist,123800,US,M
SE,Machine Learning Engineer,251250,US,M
SE,Machine Learning Engineer,120750,US,M
SE,Data Scientist,189615,US,M
SE,Data Scientist,150385,US,M
SE,Data Science,283800,US,M
SE,Data Science,234700,US,M
MI,Data Scientist,164000,US,M
MI,Data Scientist,131000,US,M
SE,Business Intelligence Lead,144300,US,M
SE,Business Intelligence Lead,104800,US,M
SE,Data Engineer,212750,US,M
SE,Data Engineer,157250,US,M
SE,Machine Learning Engineer,265000,US,M
SE,Machine Learning Engineer,170000,US,M
SE,Research Analyst,130000,US,M
SE,Research Analyst,104000,US,M
SE,ML Engineer,220000,US,M
MI,Business Intelligence Analyst,110000,US,M
MI,Business Intelligence Analyst,85000,US,M
SE,Data Science,210850,US,M
SE,Data Science,145400,US,M
MI,Data Engineer,140000,US,M
MI,Data Engineer,110000,US,M
MI,Data Scientist,199700,US,M
MI,Data Scientist,70800,US,M
SE,Research Analyst,175000,US,M
SE,Research Analyst,130000,US,M
SE,Machine Learning Scientist,277000,US,M
SE,Machine Learning Scientist,173000,US,M
MI,Data Engineer,90000,US,M
MI,Data Engineer,70000,US,M
EN,Data Scientist,137000,US,M
EN,Data Scientist,60400,US,M
EX,Data Science,197689,US,M
EX,Data Science,152311,US,M
EX,Research Analyst,209500,US,M
EX,Research Analyst,147500,US,M
SE,Machine Learning Engineer,220600,US,M
SE,Machine Learning Engineer,140100,US,M
SE,AI Engineer,236872,US,M
SE,AI Engineer,148045,US,M
MI,Data Science Engineer,143896,US,M
MI,Data Science Engineer,99208,US,M
SE,Applied Scientist,250000,US,M
SE,Applied Scientist,160000,US,M
SE,ML Engineer,200000,US,M
SE,ML Engineer,25000,US,M
SE,Data Engineer,137500,US,M
SE,Data Engineer,81500,US,M
EX,Data Science,209700,US,M
EX,Data Science,161300,US,M
SE,Data Scientist,249000,US,M
SE,Data Scientist,216000,US,M
SE,Data Engineer,170040,US,M
SE,Data Engineer,113360,US,M
MI,Machine Learning Operations Engineer,178250,US,M
MI,Machine Learning Operations Engineer,110500,US,M
EN,Data Analyst,83300,US,M
EN,Data Analyst,47500,US,M
SE,Data Architect,138000,US,M
SE,Data Architect,120000,US,M
SE,Research Scientist,250000,US,M
SE,Research Scientist,200000,US,M
MI,Data Product Manager,210554,US,M
MI,Data Product Manager,131596,US,M
SE,Data Engineer,170000,US,M
SE,Data Engineer,130000,US,M
SE,Data Engineer,159550,US,M
SE,Data Engineer,113000,US,M
MI,Data Engineer,135000,US,M
MI,Data Engineer,100000,US,M
MI,Machine Learning Engineer,245400,US,M
MI,Machine Learning Engineer,139000,US,M
SE,Data Engineer,190000,US,M
SE,Data Engineer,167000,US,M
SE,Machine Learning Engineer,304000,US,M
SE,Machine Learning Engineer,244000,US,M
EN,Data Analyst,62500,US,M
EN,Data Analyst,55000,US,M
SE,Data Scientist,247600,US,L
SE,Data Scientist,127300,US,L
SE,Data Science,210000,US,M
SE,Data Science,170000,US,M
MI,Applied Scientist,222200,US,L
MI,Applied Scientist,136000,US,L
EN,Data Analyst,156000,US,M
EN,Data Analyst,94000,US,M
MI,Research Scientist,212800,US,L
MI,Research Scientist,124100,US,L
MI,Analytics Engineer,195000,US,M
MI,Analytics Engineer,140000,US,M
SE,Data Management Analyst,199068,US,M
SE,Data Management Analyst,150000,US,M
EX,Data Science,250900,US,M
EX,Data Science,173100,US,M
MI,Data Analyst,95000,US,M
MI,Data Analyst,80000,US,M
SE,Data Engineer,138000,US,M
SE,Data Engineer,86000,US,M
SE,AI Engineer,186754,US,M
SE,AI Engineer,101000,US,M
SE,Data Scientist,234000,US,M
SE,Data Scientist,146000,US,M
SE,Business Intelligence,170000,US,M
SE,Business Intelligence,150000,US,M
MI,Data Engineer,157500,US,M
MI,Data Engineer,149900,US,M
SE,Data Analyst,169000,US,M
SE,Data Analyst,105000,US,M
SE,Data Analyst,149925,US,M
SE,Data Analyst,91260,US,M
SE,ML Engineer,185000,US,M
SE,ML Engineer,25000,US,M
SE,ML Engineer,209700,US,M
SE,ML Engineer,144600,US,M
SE,Data Architect,175000,US,M
SE,Data Architect,117000,US,M
MI,Data Analyst,77280,US,M
MI,Data Analyst,58000,US,M
MI,Data Scientist,157144,US,M
MI,Data Scientist,93101,US,M
SE,Applied Scientist,260000,US,L
SE,Applied Scientist,136000,US,L
